# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All between Race_standarized	Caucasian vs. Caucasian	0.943071115106	0.345707013552	1	0.355	1.000
All between Race_standarized	NA vs. African_American	2.14137533525	0.0323211022846	1	0.034	1.000
All between Race_standarized	NA vs. Hispanic_Latino	-0.452119534126	0.651214504784	1	0.649	1.000
All between Race_standarized	NA vs. Multi_racial	-0.0661292562198	0.947279200909	1	0.944	1.000
All between Race_standarized	NA vs. Asian	-2.12669902632	0.0335240499602	1	0.044	1.000
All between Race_standarized	NA vs. Caucasian	2.02886950985	0.0425563655239	1	0.037	1.000
All between Race_standarized	NA vs. Caucasian/African American	1.23561467314	[ 0.21669588]	1	0.249	1.000
All between Race_standarized	African_American vs. Hispanic_Latino	6.46309523553	1.1649503584e-10	4.39186285117e-08	0.001	0.377
All between Race_standarized	African_American vs. Multi_racial	-0.675647991146	0.499313775775	1	0.512	1.000
All between Race_standarized	African_American vs. Asian	-4.17560081692	3.04791527854e-05	0.0114906406001	0.001	0.377
All between Race_standarized	African_American vs. Caucasian	4.40891682434	1.06502737784e-05	0.00401515321447	0.001	0.377
All between Race_standarized	African_American vs. Caucasian/African American	-1.02544328637	0.30523364459	1	0.296	1.000
All between Race_standarized	Hispanic_Latino vs. Multi_racial	-1.95658496529	0.0504855061145	1	0.060	1.000
All between Race_standarized	Hispanic_Latino vs. Asian	-0.602366202461	0.546973015404	1	0.539	1.000
All between Race_standarized	Hispanic_Latino vs. Caucasian	0.276482569794	0.782193339063	1	0.785	1.000
All between Race_standarized	Hispanic_Latino vs. Caucasian/African American	1.34936352108	0.177318769754	1	0.185	1.000
All between Race_standarized	Multi_racial vs. Asian	-4.17443780997	3.06940199869e-05	0.0115716455351	0.001	0.377
All between Race_standarized	Multi_racial vs. Caucasian	-2.1551187562	0.0312280224508	1	0.029	1.000
All between Race_standarized	Multi_racial vs. Caucasian/African American	-0.673402696265	0.500741545152	1	0.478	1.000
All between Race_standarized	Asian vs. Caucasian	-10.2840046612	1.91052423823e-24	7.20267637814e-22	0.001	0.377
All between Race_standarized	Asian vs. Caucasian/African American	-0.235183689345	0.814081733948	1	0.820	1.000
All between Race_standarized	Caucasian vs. Caucasian/African American	-3.61990745988	0.000299393386	0.112871306522	0.002	0.754
African_American vs. African_American	Hispanic_Latino vs. Hispanic_Latino	0.703570576308	0.481973626967	1	0.487	1.000
African_American vs. African_American	Multi_racial vs. Multi_racial	-0.0550952670245	[ 0.9560848]	1	0.968	1.000
African_American vs. African_American	Asian vs. Asian	-0.474681100364	0.635212812464	1	0.626	1.000
African_American vs. African_American	Caucasian vs. Caucasian	-6.14056968415	1.1627211762e-09	4.38345883427e-07	0.001	0.377
African_American vs. African_American	NA vs. African_American	0.124309049313	0.901118071965	1	0.918	1.000
African_American vs. African_American	NA vs. Hispanic_Latino	-2.3464629994	0.0193351036829	1	0.022	1.000
African_American vs. African_American	NA vs. Multi_racial	-0.735305565459	0.462500954583	1	0.510	1.000
African_American vs. African_American	NA vs. Asian	-3.96877340099	8.27806017555e-05	0.0312082868618	0.001	0.377
African_American vs. African_American	NA vs. Caucasian	-0.0952119572533	0.924182595696	1	0.924	1.000
African_American vs. African_American	NA vs. Caucasian/African American	2.03510369284	[ 0.04237268]	1	0.038	1.000
African_American vs. African_American	African_American vs. Hispanic_Latino	-0.998837818249	0.318121339966	1	0.332	1.000
African_American vs. African_American	African_American vs. Multi_racial	-4.35268060114	1.59986145749e-05	0.00603147769474	0.001	0.377
African_American vs. African_American	African_American vs. Asian	-8.58587261235	5.17429654235e-17	1.95070979647e-14	0.001	0.377
African_American vs. African_American	African_American vs. Caucasian	-4.64060464685	3.76051759344e-06	0.00141771513273	0.001	0.377
African_American vs. African_American	African_American vs. Caucasian/African American	-3.78586142951	0.000170824038482	0.0644006625079	0.001	0.377
African_American vs. African_American	Hispanic_Latino vs. Multi_racial	-4.93474819741	1.07986543236e-06	0.000407109267998	0.001	0.377
African_American vs. African_American	Hispanic_Latino vs. Asian	-4.71247254546	3.02991878622e-06	0.0011422793824	0.001	0.377
African_American vs. African_American	Hispanic_Latino vs. Caucasian	-6.38255184868	2.656110686e-10	1.00135372862e-07	0.001	0.377
African_American vs. African_American	Hispanic_Latino vs. Caucasian/African American	-0.0606158368091	0.951688953051	1	0.946	1.000
African_American vs. African_American	Multi_racial vs. Asian	-7.02300620321	6.97220033674e-12	2.62851952695e-09	0.001	0.377
African_American vs. African_American	Multi_racial vs. Caucasian	-6.31140265118	5.61331343035e-10	2.11621916324e-07	0.001	0.377
African_American vs. African_American	Multi_racial vs. Caucasian/African American	-1.50941527483	0.131829423417	1	0.121	1.000
African_American vs. African_American	Asian vs. Caucasian	-13.5950872162	7.24248087824e-38	2.7304152911e-35	0.001	0.377
African_American vs. African_American	Asian vs. Caucasian/African American	-1.59294042448	0.111802982763	1	0.119	1.000
African_American vs. African_American	Caucasian vs. Caucasian/African American	-6.9037353902	1.4587320677e-11	5.49941989522e-09	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Multi_racial vs. Multi_racial	0.0194280602188	[ 0.98453685]	1	0.969	1.000
Hispanic_Latino vs. Hispanic_Latino	Asian vs. Asian	-0.629390123872	0.530189781687	1	0.513	1.000
Hispanic_Latino vs. Hispanic_Latino	Caucasian vs. Caucasian	-3.99266511831	7.26254486795e-05	0.0273797941522	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	NA vs. African_American	-0.249852567339	0.803081159898	1	0.806	1.000
Hispanic_Latino vs. Hispanic_Latino	NA vs. Hispanic_Latino	-2.23108841138	0.0275648079663	1	0.034	1.000
Hispanic_Latino vs. Hispanic_Latino	NA vs. Multi_racial	-0.72145738329	0.472231605321	1	0.484	1.000
Hispanic_Latino vs. Hispanic_Latino	NA vs. Asian	-3.48234094854	0.000712016922466	0.26843037977	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	NA vs. Caucasian	-0.441112243814	0.65982708747	1	0.669	1.000
Hispanic_Latino vs. Hispanic_Latino	NA vs. Caucasian/African American	1.80787908644	[ 0.07351569]	1	0.091	1.000
Hispanic_Latino vs. Hispanic_Latino	African_American vs. Hispanic_Latino	-1.2398616094	0.215525399235	1	0.211	1.000
Hispanic_Latino vs. Hispanic_Latino	African_American vs. Multi_racial	-3.85220946441	0.000166601766861	0.0628088661064	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	African_American vs. Asian	-5.20372610668	3.29258224424e-07	0.000124130350608	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	African_American vs. Caucasian	-3.06529088261	0.00222352139352	0.838267565356	0.003	1.000
Hispanic_Latino vs. Hispanic_Latino	African_American vs. Caucasian/African American	-3.34192266688	0.00107654529373	0.405857575738	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Hispanic_Latino vs. Multi_racial	-4.40308223642	2.17354189819e-05	0.00819425295616	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Hispanic_Latino vs. Asian	-3.39052627472	0.000824980317188	0.31101757958	0.002	0.754
Hispanic_Latino vs. Hispanic_Latino	Hispanic_Latino vs. Caucasian	-4.08992155408	4.89106109694e-05	0.0184393003355	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Hispanic_Latino vs. Caucasian/African American	-0.288990493895	0.773095743699	1	0.766	1.000
Hispanic_Latino vs. Hispanic_Latino	Multi_racial vs. Asian	-5.97295371597	2.48241314173e-08	9.35869754431e-06	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Multi_racial vs. Caucasian	-5.46365392251	1.62460258394e-07	6.12475174147e-05	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Multi_racial vs. Caucasian/African American	-1.38498775526	0.168991845858	1	0.181	1.000
Hispanic_Latino vs. Hispanic_Latino	Asian vs. Caucasian	-7.80432632014	6.01995407151e-14	2.26952268496e-11	0.001	0.377
Hispanic_Latino vs. Hispanic_Latino	Asian vs. Caucasian/African American	-1.52612956152	0.129822007535	1	0.142	1.000
Hispanic_Latino vs. Hispanic_Latino	Caucasian vs. Caucasian/African American	-5.55007066107	1.42716709588e-07	5.38041995145e-05	0.001	0.377
Multi_racial vs. Multi_racial	Asian vs. Asian	-0.0855054320364	[ 0.93249049]	1	0.943	1.000
Multi_racial vs. Multi_racial	Caucasian vs. Caucasian	-0.405767122241	[ 0.68506871]	1	0.723	1.000
Multi_racial vs. Multi_racial	NA vs. African_American	-0.0383569433585	[ 0.96964904]	1	1.000	1.000
Multi_racial vs. Multi_racial	NA vs. Hispanic_Latino	-0.95610499887	[ 0.3552388]	1	0.351	1.000
Multi_racial vs. Multi_racial	NA vs. Multi_racial	-0.472325891072	[ 0.71908246]	1	1.000	1.000
Multi_racial vs. Multi_racial	NA vs. Asian	-1.06539030527	[ 0.32206184]	1	0.456	1.000
Multi_racial vs. Multi_racial	NA vs. Caucasian	-0.0893955593568	[ 0.92930791]	1	0.901	1.000
Multi_racial vs. Multi_racial	NA vs. Caucasian/African American	N/A	N/A	N/A	N/A	N/A
Multi_racial vs. Multi_racial	African_American vs. Hispanic_Latino	-0.114493362638	[ 0.90889468]	1	0.905	1.000
Multi_racial vs. Multi_racial	African_American vs. Multi_racial	-0.72096326818	[ 0.47359908]	1	0.700	1.000
Multi_racial vs. Multi_racial	African_American vs. Asian	-0.545642182475	[ 0.58578891]	1	0.648	1.000
Multi_racial vs. Multi_racial	African_American vs. Caucasian	-0.294052111381	[ 0.76877422]	1	0.791	1.000
Multi_racial vs. Multi_racial	African_American vs. Caucasian/African American	-0.690449294886	[ 0.49504915]	1	0.427	1.000
Multi_racial vs. Multi_racial	Hispanic_Latino vs. Multi_racial	-1.22616726938	[ 0.22999948]	1	0.219	1.000
Multi_racial vs. Multi_racial	Hispanic_Latino vs. Asian	-0.392856939108	[ 0.695128]	1	0.705	1.000
Multi_racial vs. Multi_racial	Hispanic_Latino vs. Caucasian	-0.416869342106	[ 0.67694973]	1	0.710	1.000
Multi_racial vs. Multi_racial	Hispanic_Latino vs. Caucasian/African American	-0.0543509613341	[ 0.95742354]	1	0.924	1.000
Multi_racial vs. Multi_racial	Multi_racial vs. Asian	-1.50033336977	[ 0.15428116]	1	0.193	1.000
Multi_racial vs. Multi_racial	Multi_racial vs. Caucasian	-1.10002333682	[ 0.27525868]	1	0.359	1.000
Multi_racial vs. Multi_racial	Multi_racial vs. Caucasian/African American	-1.96465703435	[ 0.29973169]	1	0.303	1.000
Multi_racial vs. Multi_racial	Asian vs. Caucasian	-0.814587395361	[ 0.41602377]	1	0.496	1.000
Multi_racial vs. Multi_racial	Asian vs. Caucasian/African American	-0.607191169215	[ 0.56289348]	1	0.583	1.000
Multi_racial vs. Multi_racial	Caucasian vs. Caucasian/African American	-0.937784968203	[ 0.35516819]	1	0.420	1.000
Asian vs. Asian	Caucasian vs. Caucasian	-1.36489323517	0.172809529153	1	0.171	1.000
Asian vs. Asian	NA vs. African_American	0.344171350986	0.731962156889	1	0.728	1.000
Asian vs. Asian	NA vs. Hispanic_Latino	-1.08959793512	0.282253201269	1	0.278	1.000
Asian vs. Asian	NA vs. Multi_racial	-0.335418653168	0.739809523203	1	0.733	1.000
Asian vs. Asian	NA vs. Asian	-1.98186050392	0.0556257627532	1	0.057	1.000
Asian vs. Asian	NA vs. Caucasian	0.23990295535	0.811223212562	1	0.815	1.000
Asian vs. Asian	NA vs. Caucasian/African American	1.09045130492	[ 0.28515082]	1	0.388	1.000
Asian vs. Asian	African_American vs. Hispanic_Latino	0.146044812342	0.883944174701	1	0.890	1.000
Asian vs. Asian	African_American vs. Multi_racial	-1.7413998648	0.0850304427264	1	0.086	1.000
Asian vs. Asian	African_American vs. Asian	-2.24424912351	0.0255920309978	1	0.026	1.000
Asian vs. Asian	African_American vs. Caucasian	-0.802676669567	0.422332849825	1	0.407	1.000
Asian vs. Asian	African_American vs. Caucasian/African American	-1.61668898807	0.111372155678	1	0.108	1.000
Asian vs. Asian	Hispanic_Latino vs. Multi_racial	-2.33508355698	0.0231483929171	1	0.034	1.000
Asian vs. Asian	Hispanic_Latino vs. Asian	-1.34789216533	0.179780757091	1	0.219	1.000
Asian vs. Asian	Hispanic_Latino vs. Caucasian	-1.45455007513	0.146379191093	1	0.138	1.000
Asian vs. Asian	Hispanic_Latino vs. Caucasian/African American	0.158097733671	0.875155903124	1	0.863	1.000
Asian vs. Asian	Multi_racial vs. Asian	-3.4435022217	0.00131356032029	0.495212240749	0.003	1.000
Asian vs. Asian	Multi_racial vs. Caucasian	-2.73177431256	0.0075243987839	1	0.010	1.000
Asian vs. Asian	Multi_racial vs. Caucasian/African American	-0.772234758991	0.446444937332	1	0.489	1.000
Asian vs. Asian	Asian vs. Caucasian	-3.64137832198	0.000319675764822	0.120517763338	0.002	0.754
Asian vs. Asian	Asian vs. Caucasian/African American	-0.725075792048	0.473366582528	1	0.482	1.000
Asian vs. Asian	Caucasian vs. Caucasian/African American	-2.92270517118	0.00488703913436	1	0.006	1.000
Caucasian vs. Caucasian	NA vs. African_American	2.1018937348	0.0359851923157	1	0.038	1.000
Caucasian vs. Caucasian	NA vs. Hispanic_Latino	-0.688284050228	0.491551986787	1	0.469	1.000
Caucasian vs. Caucasian	NA vs. Multi_racial	-0.141402720579	0.887602566458	1	0.869	1.000
Caucasian vs. Caucasian	NA vs. Asian	-2.49851410015	0.0127534644066	1	0.013	1.000
Caucasian vs. Caucasian	NA vs. Caucasian	1.97055082638	0.0492400093756	1	0.045	1.000
Caucasian vs. Caucasian	NA vs. Caucasian/African American	1.43119293021	[ 0.15293274]	1	0.152	1.000
Caucasian vs. Caucasian	African_American vs. Hispanic_Latino	4.98991247537	7.07811443235e-07	0.000266844914099	0.001	0.377
Caucasian vs. Caucasian	African_American vs. Multi_racial	-1.10677363391	0.268818972046	1	0.282	1.000
Caucasian vs. Caucasian	African_American vs. Asian	-4.16969977209	3.37676972833e-05	0.0127304218758	0.001	0.377
Caucasian vs. Caucasian	African_American vs. Caucasian	2.36777505508	0.0180103719506	1	0.031	1.000
Caucasian vs. Caucasian	African_American vs. Caucasian/African American	-1.38870726472	0.165444902593	1	0.155	1.000
Caucasian vs. Caucasian	Hispanic_Latino vs. Multi_racial	-2.42666558983	0.0155373092447	1	0.016	1.000
Caucasian vs. Caucasian	Hispanic_Latino vs. Asian	-1.03977037456	0.298816695657	1	0.314	1.000
Caucasian vs. Caucasian	Hispanic_Latino vs. Caucasian	-0.526859626004	0.598400379108	1	0.583	1.000
Caucasian vs. Caucasian	Hispanic_Latino vs. Caucasian/African American	1.30942872645	0.190913052474	1	0.187	1.000
Caucasian vs. Caucasian	Multi_racial vs. Asian	-4.80443463897	1.98272053372e-06	0.000747485641213	0.001	0.377
Caucasian vs. Caucasian	Multi_racial vs. Caucasian	-2.74259488349	0.00626968098708	1	0.011	1.000
Caucasian vs. Caucasian	Multi_racial vs. Caucasian/African American	-0.821342506918	0.411800100116	1	0.406	1.000
Caucasian vs. Caucasian	Asian vs. Caucasian	-9.17995023711	3.35099841159e-19	1.26332640117e-16	0.001	0.377
Caucasian vs. Caucasian	Asian vs. Caucasian/African American	-0.396622346897	0.69179520064	1	0.711	1.000
Caucasian vs. Caucasian	Caucasian vs. Caucasian/African American	-4.17960886693	3.36031318133e-05	0.0126683806936	0.001	0.377
NA vs. African_American	NA vs. Hispanic_Latino	-2.55566481764	0.0140472266636	1	0.010	1.000
NA vs. African_American	NA vs. Multi_racial	-0.883162397462	0.38373548923	1	0.409	1.000
NA vs. African_American	NA vs. Asian	-3.87486880504	0.00040858430706	0.154036283762	0.003	1.000
NA vs. African_American	NA vs. Caucasian	-0.195052866894	0.845969461412	1	0.853	1.000
NA vs. African_American	NA vs. Caucasian/African American	2.41764661244	[ 0.02169215]	1	0.027	1.000
NA vs. African_American	African_American vs. Hispanic_Latino	-0.463187913783	0.643427268653	1	0.666	1.000
NA vs. African_American	African_American vs. Multi_racial	-3.20582585849	0.00184061246454	0.693910899133	0.004	1.000
NA vs. African_American	African_American vs. Asian	-2.9229947135	0.0037437656443	1	0.004	1.000
NA vs. African_American	African_American vs. Caucasian	-1.48395905867	0.138101641307	1	0.132	1.000
NA vs. African_American	African_American vs. Caucasian/African American	-2.9824350984	0.00408423383835	1	0.005	1.000
NA vs. African_American	Hispanic_Latino vs. Multi_racial	-4.56059528941	2.56902301369e-05	0.00968521676163	0.001	0.377
NA vs. African_American	Hispanic_Latino vs. Asian	-2.02091181444	0.0450679386538	1	0.047	1.000
NA vs. African_American	Hispanic_Latino vs. Caucasian	-2.17202482039	0.0302882114786	1	0.039	1.000
NA vs. African_American	Hispanic_Latino vs. Caucasian/African American	-0.123949055455	0.90190761581	1	0.912	1.000
NA vs. African_American	Multi_racial vs. Asian	-6.1193791287	1.91734669183e-07	7.22839702821e-05	0.001	0.377
NA vs. African_American	Multi_racial vs. Caucasian	-4.825434663	5.13396330239e-06	0.001935504165	0.001	0.377
NA vs. African_American	Multi_racial vs. Caucasian/African American	-1.80399055489	0.0806539979234	1	0.084	1.000
NA vs. African_American	Asian vs. Caucasian	-4.43687721383	1.28042249253e-05	0.00482719279684	0.001	0.377
NA vs. African_American	Asian vs. Caucasian/African American	-1.72757308364	0.0921854548496	1	0.094	1.000
NA vs. African_American	Caucasian vs. Caucasian/African American	-4.51994088576	2.73211119018e-05	0.010300059187	0.001	0.377
NA vs. Hispanic_Latino	NA vs. Multi_racial	0.169525500344	0.867648424525	1	0.844	1.000
NA vs. Hispanic_Latino	NA vs. Asian	-1.98409542797	0.060468315813	1	0.060	1.000
NA vs. Hispanic_Latino	NA vs. Caucasian	2.52417233557	0.0150339940114	1	0.014	1.000
NA vs. Hispanic_Latino	NA vs. Caucasian/African American	2.05001220891	[ 0.05957805]	1	0.175	1.000
NA vs. Hispanic_Latino	African_American vs. Hispanic_Latino	1.98695842061	0.0474800263565	1	0.047	1.000
NA vs. Hispanic_Latino	African_American vs. Multi_racial	0.171395462451	0.86436244936	1	0.866	1.000
NA vs. Hispanic_Latino	African_American vs. Asian	-0.494655847311	0.621246819237	1	0.642	1.000
NA vs. Hispanic_Latino	African_American vs. Caucasian	1.19131150243	0.233788068255	1	0.225	1.000
NA vs. Hispanic_Latino	African_American vs. Caucasian/African American	-0.275672052787	0.784061957036	1	0.792	1.000
NA vs. Hispanic_Latino	Hispanic_Latino vs. Multi_racial	-1.30049151463	0.200359641239	1	0.204	1.000
NA vs. Hispanic_Latino	Hispanic_Latino vs. Asian	0.196965588269	0.844155144289	1	0.814	1.000
NA vs. Hispanic_Latino	Hispanic_Latino vs. Caucasian	0.532942180888	0.59429997793	1	0.585	1.000
NA vs. Hispanic_Latino	Hispanic_Latino vs. Caucasian/African American	1.60304356811	0.120147588958	1	0.113	1.000
NA vs. Hispanic_Latino	Multi_racial vs. Asian	-3.36526998724	0.00216777973175	0.817252958871	0.006	1.000
NA vs. Hispanic_Latino	Multi_racial vs. Caucasian	-0.864639005116	0.389790395019	1	0.378	1.000
NA vs. Hispanic_Latino	Multi_racial vs. Caucasian/African American	-0.919493960041	0.372387903427	1	0.318	1.000
NA vs. Hispanic_Latino	Asian vs. Caucasian	-1.61612040399	0.107174650123	1	0.114	1.000
NA vs. Hispanic_Latino	Asian vs. Caucasian/African American	0.12490464006	0.901787009084	1	0.896	1.000
NA vs. Hispanic_Latino	Caucasian vs. Caucasian/African American	-1.72190488807	0.0916628922259	1	0.092	1.000
NA vs. Multi_racial	NA vs. Asian	-0.895414362159	0.396706868333	1	0.424	1.000
NA vs. Multi_racial	NA vs. Caucasian	0.867767035813	0.391605617519	1	0.416	1.000
NA vs. Multi_racial	NA vs. Caucasian/African American	1.24298863388	[ 0.43130128]	1	0.650	1.000
NA vs. Multi_racial	African_American vs. Hispanic_Latino	0.609541800801	0.542453788319	1	0.538	1.000
NA vs. Multi_racial	African_American vs. Multi_racial	-0.0784548326004	0.937711039596	1	0.928	1.000
NA vs. Multi_racial	African_American vs. Asian	-0.260501953499	0.794686022728	1	0.806	1.000
NA vs. Multi_racial	African_American vs. Caucasian	0.321565467545	0.747843673927	1	0.771	1.000
NA vs. Multi_racial	African_American vs. Caucasian/African American	-0.22196498844	0.825751652073	1	0.864	1.000
NA vs. Multi_racial	Hispanic_Latino vs. Multi_racial	-0.688836732745	0.496219183561	1	0.562	1.000
NA vs. Multi_racial	Hispanic_Latino vs. Asian	-0.0116043986538	0.990760507793	1	0.994	1.000
NA vs. Multi_racial	Hispanic_Latino vs. Caucasian	0.0900028736018	0.928320266189	1	0.927	1.000
NA vs. Multi_racial	Hispanic_Latino vs. Caucasian/African American	0.535975067314	0.599834176138	1	0.605	1.000
NA vs. Multi_racial	Multi_racial vs. Asian	-1.43377320548	0.170890795758	1	0.185	1.000
NA vs. Multi_racial	Multi_racial vs. Caucasian	-0.496512267915	0.62113433149	1	0.589	1.000
NA vs. Multi_racial	Multi_racial vs. Caucasian/African American	-0.704067028657	0.55432639464	1	0.677	1.000
NA vs. Multi_racial	Asian vs. Caucasian	-0.667154815865	0.505238824202	1	0.519	1.000
NA vs. Multi_racial	Asian vs. Caucasian/African American	-0.0605730432455	0.953185131269	1	0.986	1.000
NA vs. Multi_racial	Caucasian vs. Caucasian/African American	-0.739181815839	0.464869538026	1	0.461	1.000
NA vs. Asian	NA vs. Caucasian	3.95676769726	0.000302822761485	0.11416418108	0.001	0.377
NA vs. Asian	NA vs. Caucasian/African American	0.444288453071	[ 0.67024479]	1	0.793	1.000
NA vs. Asian	African_American vs. Hispanic_Latino	3.59335917747	0.000359720123302	0.135614486485	0.002	0.754
NA vs. Asian	African_American vs. Multi_racial	2.48437967792	0.0153727429448	1	0.014	1.000
NA vs. Asian	African_American vs. Asian	1.0660136265	0.287398839486	1	0.273	1.000
NA vs. Asian	African_American vs. Caucasian	2.93553116157	0.00339938507684	1	0.002	0.754
NA vs. Asian	African_American vs. Caucasian/African American	1.65127938635	0.10692321859	1	0.125	1.000
NA vs. Asian	Hispanic_Latino vs. Multi_racial	1.39553963916	0.17140221914	1	0.149	1.000
NA vs. Asian	Hispanic_Latino vs. Asian	1.64115948475	0.103258191439	1	0.085	1.000
NA vs. Asian	Hispanic_Latino vs. Caucasian	2.28582554201	0.0226690253245	1	0.024	1.000
NA vs. Asian	Hispanic_Latino vs. Caucasian/African American	2.50611080523	0.0205056334672	1	0.028	1.000
NA vs. Asian	Multi_racial vs. Asian	-0.700228091195	0.491124249768	1	0.487	1.000
NA vs. Asian	Multi_racial vs. Caucasian	2.00626304743	0.0484830799829	1	0.041	1.000
NA vs. Asian	Multi_racial vs. Caucasian/African American	0.361798407209	0.726872585409	1	0.733	1.000
NA vs. Asian	Asian vs. Caucasian	0.177648504645	0.859128400288	1	0.861	1.000
NA vs. Asian	Asian vs. Caucasian/African American	1.48598080585	0.159453481002	1	0.178	1.000
NA vs. Asian	Caucasian vs. Caucasian/African American	0.304036412172	0.762676202983	1	0.768	1.000
NA vs. Caucasian	NA vs. Caucasian/African American	2.51449357182	[ 0.01697456]	1	0.024	1.000
NA vs. Caucasian	African_American vs. Hispanic_Latino	-0.265654341683	0.790612361851	1	0.789	1.000
NA vs. Caucasian	African_American vs. Multi_racial	-3.11216553279	0.00244675204459	0.922425520812	0.001	0.377
NA vs. Caucasian	African_American vs. Asian	-2.87455365233	0.0043475352585	1	0.004	1.000
NA vs. Caucasian	African_American vs. Caucasian	-1.32518821669	0.18537900424	1	0.188	1.000
NA vs. Caucasian	African_American vs. Caucasian/African American	-2.93636601171	0.0046096180804	1	0.008	1.000
